mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09773688316345215,0.01474546268527228,0.008330202102661133,0.0049508202737872,0.8,0.01,3,100,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8313449258891854,0.828490527877031,0.8445370361452745,0.8207556028546388,0.8293224085292447,0.830890100259075,0.007711930602032375,362
0.06947274208068847,0.004130847411406633,0.005843544006347656,0.0007136815008594958,0.8,0.01,3,100,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",0.8314857797767526,0.8292646223189606,0.8435859714343501,0.8192338993171596,0.8304937831668768,0.83081281120282,0.007748243377250793,363
0.1093742847442627,0.01613608733045261,0.007201194763183594,0.00342847848961045,0.8,0.01,3,100,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 0.8}",0.8313966927025648,0.8281161213895658,0.8455663530159587,0.8211625140853888,0.8301554930608392,0.8312794348508635,0.00797184624834922,354
0.07008309364318847,0.002489167552959179,0.005796575546264648,0.00040276647209477233,0.8,0.01,3,100,2,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}",0.831509857364371,0.8278825687896678,0.8456987797478595,0.8198731592684265,0.8298376689042771,0.8309604068149203,0.008380718562266638,361
0.10418596267700195,0.0031907691415850137,0.005390071868896484,0.00047906032153419647,0.8,0.01,3,100,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 4, 'subsample': 0.8}",0.8311149849274302,0.8290118076489681,0.8478176074582737,0.8215874835068524,0.8291165451551078,0.8317296857393265,0.008675006783564651,349
0.06817793846130371,0.0013279194786643756,0.004801607131958008,0.0004005950542234652,0.8,0.01,3,100,4,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 4, 'subsample': 1.0}",0.8302205025474088,0.8298184068341824,0.8473312401883831,0.8205220502547409,0.8288805847964481,0.8313545569242325,0.00874487259353021,351
0.09876360893249511,0.0028568616032563533,0.005200672149658203,0.00039885267494443004,0.8,0.01,3,100,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 6, 'subsample': 0.8}",0.8316170026292725,0.829202020591153,0.8489685161464302,0.8219751326675078,0.8282401209658001,0.8320005586000327,0.009061352766510024,345
0.07127199172973633,0.0018489398015499494,0.006103944778442383,0.0010177482817911344,0.8,0.01,3,100,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 6, 'subsample': 1.0}",0.8305780547235412,0.8272336778033536,0.8478332578902255,0.8200091976384702,0.8292826805096745,0.8309873737130531,0.009181153713674168,358
0.178566312789917,0.004615140031140101,0.007248544692993164,0.0011176440743223444,0.8,0.01,3,200,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8412034941395152,0.8416429101135499,0.8502446282902023,0.8235654573296993,0.8389317737477247,0.8391176527241383,0.008676895494603426,257
0.12844448089599608,0.004128772459557559,0.006199169158935547,0.0003993299649456979,0.8,0.01,3,200,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 1.0}",0.8376785353121899,0.8402897496893991,0.8475575695119955,0.8224928008013022,0.8368225770723581,0.8369682464774488,0.008163705080959089,293
0.18681178092956544,0.010110268206996537,0.006400680541992188,0.0004911757337412415,0.8,0.01,3,200,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2, 'subsample': 0.8}",0.8420004622896822,0.8418126571062593,0.8517916132946808,0.8249354720651829,0.8392483940249058,0.8399577197561422,0.008646683694852999,239
0.12267527580261231,0.0033742282196312216,0.006801128387451172,0.0004003082449050328,0.8,0.01,3,200,2,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2, 'subsample': 1.0}",0.8387836965838719,0.8401187988173089,0.848478537238397,0.8244370660014833,0.8385031926881181,0.8380642582658359,0.007734196368416428,276
0.18427424430847167,0.005091353218940179,0.007599353790283203,0.00101866605034784,0.8,0.01,3,200,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 4, 'subsample': 0.8}",0.8427083433656615,0.8435546705704462,0.8529352987065519,0.8259816432471998,0.8404968169429168,0.8411353545665552,0.008690325223407947,216
0.1311976432800293,0.004997622078208065,0.008001995086669923,0.001414449059069424,0.8,0.01,3,200,4,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 4, 'subsample': 1.0}",0.8390028026311989,0.8413274937157497,0.8498991149078792,0.8240277470119713,0.8393735974805212,0.8387261511494641,0.008344350295583657,268
0.19368772506713866,0.011732742872364617,0.008801031112670898,0.0017191210119403967,0.8,0.01,3,200,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 6, 'subsample': 0.8}",0.8428299351831341,0.8440578921516695,0.853241084069305,0.8254531401989772,0.8403993027130626,0.8411962708632297,0.008993515241794326,212
0.1335360050201416,0.006056627990181243,0.007999706268310546,0.0026075837506861523,0.8,0.01,3,200,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 6, 'subsample': 1.0}",0.839782916470033,0.8414575126888887,0.8508032283229479,0.8243552022035808,0.8406172048810086,0.8394032129132917,0.008511651737667277,249
0.2995718002319336,0.013160235840078735,0.008212661743164063,0.0006626082653800505,0.8,0.01,3,300,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8457011875066214,0.8489913898546677,0.8544678371584595,0.8267087863932737,0.8444455413123249,0.8440629484450695,0.009343964778515932,138
0.19230895042419432,0.00944979450468173,0.008600091934204102,0.0007998832767251193,0.8,0.01,3,300,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 1.0}",0.843282593830359,0.8480078204004584,0.8518542150224884,0.8256493725380667,0.8434090011653552,0.8424406005913456,0.008980001836132378,174
0.283762788772583,0.013538573985535566,0.008599615097045899,0.0010196373603286002,0.8,0.01,3,300,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 2, 'subsample': 0.8}",0.8468484845566353,0.849507854109081,0.8556295807610443,0.8275502980805347,0.8451040633336864,0.8449280561681963,0.00939364335773269,116
0.19383182525634765,0.00806169836492286,0.009556388854980469,0.0007504390509444034,0.8,0.01,3,300,2,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 2, 'subsample': 1.0}",0.8445274051102272,0.8485736437094894,0.8521575926264797,0.8268436208839364,0.8434475253055446,0.8431099575271354,0.008699751548588566,165
0.2703972816467285,0.009376461584964496,0.008132219314575195,0.0003859732449759224,0.8,0.01,3,300,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 4, 'subsample': 0.8}",0.8470808332771523,0.8501748032861092,0.8560545501825081,0.8283761593358439,0.8454158680933439,0.8454204428349914,0.00926231828135543,101
0.1885995864868164,0.009316226878054282,0.008378267288208008,0.0007841087959274628,0.8,0.01,3,300,4,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 4, 'subsample': 1.0}",0.8455795956891489,0.8495331355760803,0.8538406160010016,0.8274395411774904,0.8441578141402857,0.8441101405168014,0.008990678307795642,136
0.28475565910339357,0.005174931651100129,0.009058094024658203,0.0013606247189219282,0.8,0.01,3,300,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 6, 'subsample': 0.8}",0.8468846009380628,0.8501290558696344,0.8562182777783128,0.828112509751423,0.8451449952326376,0.8452978879140142,0.009385876150766715,106
0.18684206008911133,0.008787678899251172,0.009809303283691406,0.0012809989384868542,0.8,0.01,3,300,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': 6, 'subsample': 1.0}",0.8461020793404668,0.8504288218354826,0.8551215436622973,0.8272601631497337,0.845138975835733,0.8448103167647428,0.009462278357881704,118
0.14773201942443848,0.005077272581140292,0.006308412551879883,0.00040658321050047455,0.8,0.01,5,100,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8461911664146546,0.8475334919243771,0.8561135402721731,0.8261465747223854,0.8437629417033448,0.8439495430073871,0.009826626019145862,141
0.12321991920471191,0.006878029099547351,0.008076333999633789,0.00300704218150276,0.8,0.01,5,100,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",0.844980063757452,0.844558705974131,0.8552672130673884,0.8248162880064721,0.8434980882395432,0.8426240718089973,0.009869382928755577,173
0.15558714866638185,0.004835600842619388,0.007941865921020507,0.001696633840303384,0.8,0.01,5,100,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 0.8}",0.845355674124298,0.8462224672785585,0.856160491568029,0.8260610992863403,0.8429105951016556,0.8433420654717763,0.009751731548208152,155
0.133933687210083,0.011090599661330197,0.006858253479003906,0.0007015962222642154,0.8,0.01,5,100,2,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}",0.8445659292504165,0.8431104390788877,0.8557138523177086,0.8250691026764645,0.8423736648977665,0.8421665976442487,0.009823878551962697,182
0.17799577713012696,0.010616645249531634,0.007850408554077148,0.0017778855762828432,0.8,0.01,5,100,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 4, 'subsample': 0.8}",0.8440001059413855,0.8458576918261406,0.85662157737092,0.8258925561730118,0.8419149868536371,0.8428573836330191,0.009883867413313758,170
0.1417616844177246,0.006305000006363576,0.007415866851806641,0.0013487602520938396,0.8,0.01,5,100,4,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 4, 'subsample': 1.0}",0.8425494312873805,0.8423592183451956,0.8563964519266887,0.824510502643719,0.8412311833652764,0.8414093575136519,0.010123418836503098,207
0.17147369384765626,0.014154886677646987,0.007472181320190429,0.0015871570589097808,0.8,0.01,5,100,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 6, 'subsample': 0.8}",0.8433175063324055,0.8451004516955438,0.8564361799462589,0.8252749660506015,0.8403643902110159,0.842098698847165,0.010021029765161775,185
0.15076069831848143,0.019245308247303975,0.007516098022460937,0.0011908554845593826,0.8,0.01,5,100,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 6, 'subsample': 1.0}",0.8410806984426615,0.842672226984234,0.85538760100548,0.8245333763519566,0.8396673440494649,0.8406682493667594,0.009820196452758556,227
0.34851846694946287,0.04369683055844462,0.012503480911254883,0.0051417875287241635,0.8,0.01,5,200,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8491503019329488,0.8511078098063198,0.8590871223430382,0.8290792248942994,0.846170700465179,0.8469190318883569,0.009893488416886644,70
0.28238983154296876,0.03255192782163416,0.009192276000976562,0.0014682695366182038,0.8,0.01,5,200,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 1.0}",0.8477176854696575,0.8493092140112297,0.85618818079379,0.8282822567441323,0.8447236374493166,0.8452441948936252,0.009277841228208924,108
0.3661789417266846,0.0454646818929326,0.011217975616455078,0.0026665817987045217,0.8,0.01,5,200,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 2, 'subsample': 0.8}",0.8481101501478362,0.8504854041663857,0.8594482861573133,0.8289636524737314,0.8463043310764607,0.8466623648043454,0.00993543258767275,73
0.2814317226409912,0.04796753918223681,0.009661197662353516,0.0013973690669808914,0.8,0.01,5,200,2,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 2, 'subsample': 1.0}",0.8465715922990242,0.8482281303271663,0.8564265489112115,0.827995733451474,0.8446201038225578,0.8447684217622868,0.009300301149337845,119
0.3460270881652832,0.03478859615947921,0.010390615463256836,0.0018106864494520692,0.8,0.01,5,200,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 4, 'subsample': 0.8}",0.84646083539598,0.8492923596998969,0.8592821508027468,0.8281931696699445,0.8452148202367309,0.8456886671610597,0.010046716922294776,98
0.2618566989898682,0.022035814991094492,0.010123062133789062,0.0024096740504768914,0.8,0.01,5,200,4,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 4, 'subsample': 1.0}",0.844238474058807,0.8470326781019156,0.857188604559332,0.8281426067359459,0.8450799857460681,0.8443364698404137,0.009330064599390881,131
0.3195484638214111,0.006461287311417287,0.009245014190673828,0.0005810829173145663,0.8,0.01,5,200,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 6, 'subsample': 0.8}",0.8455230133582455,0.848536323448681,0.8590281322533733,0.8281787231173734,0.8437075632518225,0.844994751085899,0.009941762740875056,115
0.27814593315124514,0.02399757605604294,0.014664602279663087,0.006838392792711008,0.8,0.01,5,200,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 6, 'subsample': 1.0}",0.8417307933083569,0.8468340380040644,0.8558017355125156,0.8274419489362521,0.8442420856969499,0.8432101202916279,0.00920402240622121,161
0.48723735809326174,0.03324629731793111,0.013932943344116211,0.0029453612301464484,0.8,0.01,5,300,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 0.8}",0.849714921362599,0.852599416359276,0.8604318556115226,0.8293958451714806,0.847912713929366,0.8480109504868489,0.01024468853843257,45
