Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.853,0.755656108597285,0.4103194103194103,0.5318471337579618,0.8443559121525223
XGBoost (Default),0.854,0.7290836653386454,0.44963144963144963,0.5562310030395137,0.8538530826666418
XGBoost (Optimized),0.8585,0.7649572649572649,0.4398034398034398,0.5585023400936038,0.8589560284475538
