mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_class_weights,param_border_count,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.105798864364624,0.034172815686079175,0.014854526519775391,0.0026597323124112997,0.05,1,500,4,"[1, 3]",128,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 4, 'class_weights': [1, 3], 'border_count': 128}",0.838737949167397,0.8530689293178337,0.8650090050177692,0.8268989993354586,0.8409410484344753,0.8449311862545867,0.013029035413096622,18
3.710370588302612,0.03035229898111546,0.011704397201538087,0.0037421102488843154,0.1,3,300,8,"[1, 3]",128,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 8, 'class_weights': [1, 3], 'border_count': 128}",0.8195144032129134,0.8349120204948427,0.8483593531796862,0.8098737371305293,0.8049017152873419,0.8235122458610625,0.016097683797812422,37
2.9344330787658692,0.07014217035159824,0.012800216674804688,0.0024828274502410744,0.05,5,500,6,"[1, 1]",64,"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 500, 'depth': 6, 'class_weights': [1, 1], 'border_count': 64}",0.8354369119049225,0.8498401248182142,0.8570296924810509,0.8229334206547179,0.8339537325076325,0.8398387764733076,0.012127289651120813,24
6.941031217575073,0.09346147773429404,0.011785221099853516,0.003083979001862139,0.1,1,700,8,"[1, 2]",64,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 8, 'class_weights': [1, 2], 'border_count': 64}",0.8045838911307799,0.8215898912656143,0.8313557608036135,0.8014297271527772,0.7957883483737997,0.8109495237453169,0.013346467519451618,50
1.238515043258667,0.03043901133149041,0.017603015899658202,0.002573510219028459,0.1,5,300,4,"[1, 2]",128,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 300, 'depth': 4, 'class_weights': [1, 2], 'border_count': 128}",0.8391641224682418,0.850249443807726,0.8631622540474424,0.8264631949995667,0.8399273819957431,0.843793279463744,0.012276361999534578,20
11.0125723361969,0.09332009530501846,0.011574792861938476,0.0025118567620972614,0.05,5,700,8,"[1, 2]",255,"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 700, 'depth': 8, 'class_weights': [1, 2], 'border_count': 255}",0.8190039583554043,0.8437364563569647,0.8508658300507556,0.8194036463098691,0.8141643632441178,0.8294348508634222,0.014875746462354213,33
1.6383671283721923,0.04088052235340272,0.011752033233642578,0.002874139175429075,0.01,1,300,6,"[1, 6]",64,"{'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 300, 'depth': 6, 'class_weights': [1, 6], 'border_count': 64}",0.8477429669366567,0.8585947356762431,0.8625855958239832,0.8311077616511445,0.844138552070191,0.8488339224316437,0.011151999453236031,7
3.0099645614624024,0.03758448086642662,0.014251279830932616,0.00226753771378652,0.1,3,700,4,"[1, 4]",128,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 700, 'depth': 4, 'class_weights': [1, 4], 'border_count': 128}",0.8244045612581985,0.8395204707649931,0.8508080438404715,0.8101361828355694,0.8244671629860061,0.8298672843370477,0.014000131694357085,32
2.8682275295257567,0.09305362183556905,0.015468645095825195,0.004584468401344366,0.01,5,500,6,"[1, 2]",64,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 500, 'depth': 6, 'class_weights': [1, 2], 'border_count': 64}",0.8481643247199776,0.8588042106885228,0.8626373626373625,0.8309079176739125,0.8499918136202098,0.850101125867997,0.01100039368719879,4
1.8014578819274902,0.1326214615386918,0.01088252067565918,0.0038542742323907525,0.1,3,300,6,"[1, 2]",64,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 6, 'class_weights': [1, 2], 'border_count': 64}",0.8220353266365537,0.8438399899837237,0.8527751827488901,0.8205256618928837,0.8234847974111779,0.8325321917346458,0.013219994449451277,28
5.665573596954346,0.06362962888333623,0.01261916160583496,0.0036268742263379727,0.01,3,500,6,"[1, 2]",255,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'class_weights': [1, 2], 'border_count': 255}",0.8485892941414412,0.8582504261733007,0.8628564686846897,0.8310523831996226,0.8507526653889492,0.8503002475176007,0.01090391081074495,2
5.194338703155518,0.07507317952061016,0.01460123062133789,0.003261609408303821,0.1,1,700,6,"[1, 2]",64,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 6, 'class_weights': [1, 2], 'border_count': 64}",0.7998935770627269,0.8265691363850871,0.8294078839652896,0.8041408635186024,0.8005918271036587,0.812120657607073,0.013066746184630032,49
1.6163532733917236,0.10689594005717966,0.015076971054077149,0.006134637273869304,0.01,3,300,4,"[1, 3]",128,"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 4, 'class_weights': [1, 3], 'border_count': 128}",0.8497197368801225,0.856637227802872,0.8599382650653464,0.830216890909266,0.8473252207914784,0.848767468289817,0.010332769520896666,8
9.091609668731689,0.06426354790094214,0.012999200820922851,0.003033135055989756,0.05,1,700,8,"[1, 1]",128,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 700, 'depth': 8, 'class_weights': [1, 1], 'border_count': 128}",0.8186548333349384,0.8326655815700514,0.8460190116631834,0.804564629060685,0.8125030096984522,0.8228814130654619,0.014779433217413747,38
